codeValue,description,namespace,shortDescription
TRUE,TRUE,uri://www.nwea.org/map/PerformanceLevelDescriptor,TRUE
FALSE,FALSE,uri://www.nwea.org/map/PerformanceLevelDescriptor,FALSE
Yes,Student met growth projection.,uri://www.nwea.org/map/PerformanceLevelDescriptor,Yes
No,"Growth projection not met. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/PerformanceLevelDescriptor,No
Yes*,Student met growth projection.,uri://www.nwea.org/map/PerformanceLevelDescriptor,Yes*
No*,"Growth projection not met. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/PerformanceLevelDescriptor,No*
Low,Low (percentile <= 20),uri://www.nwea.org/map/PerformanceLevelDescriptor,Low
LoAvg,LoAvg (percentile > 20 to <= 40),uri://www.nwea.org/map/PerformanceLevelDescriptor,LoAvg
Avg,Avg (percentile > 40 to <= 60),uri://www.nwea.org/map/PerformanceLevelDescriptor,Avg
HiAvg,HiAvg (percentile > 60 to <= 80),uri://www.nwea.org/map/PerformanceLevelDescriptor,HiAvg
High,High (percentile > 80,uri://www.nwea.org/map/PerformanceLevelDescriptor,High
*,* goal adjective could not be computed),uri://www.nwea.org/map/PerformanceLevelDescriptor,*
