column,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,in_bundle,alias_rename,notes
age,1,1,1,1,1,1,1,1,0,0,0,,,,
agegrade,0,1,0,1,1,1,1,1,0,0,0,,,,
ageinyrs,1,0,0,0,0,0,0,0,0,0,0,,,,
barcode,0,1,1,0,0,0,0,0,0,0,0,,,,
blank,1,1,1,0,0,0,0,0,0,0,0,,,,
ctr,1,1,1,1,1,1,1,1,0,0,0,,,,
discode,0,1,0,0,0,0,0,0,0,0,0,,,,
district,1,1,1,0,0,0,0,0,0,0,0,,1,???,Is this rdistrict or tdistrict?
districtid,1,1,1,0,0,0,0,0,0,0,0,,1,???,Is this rdistrictid or tdistrictid?
dob,1,1,1,1,1,1,1,1,1,1,1,,1,,
dob2,0,1,1,0,0,0,0,0,0,0,0,,,,
dobd,1,1,1,1,1,1,1,1,0,0,0,,,,
dobm,1,1,1,1,1,1,1,1,0,0,0,,,,
doby,1,1,1,1,1,1,1,1,0,0,0,,,,
efagr,1,1,0,0,0,0,0,0,0,0,0,,,,
efagrade,0,0,1,0,0,0,0,0,0,0,0,,,,
ela_ssh,1,1,1,0,0,0,0,0,0,0,0,,1,,
ela_ssh_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
ela_ssp,1,1,1,0,0,0,0,0,0,0,0,,1,,
ela_ssp_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
elaformtype,1,1,1,0,0,0,0,0,0,0,0,,1,testnameela,
elagrade,0,0,0,1,1,1,1,1,1,1,1,,1,,
elalev,1,1,1,1,0,0,0,0,0,0,0,,1,levelela,
elass,1,1,1,1,1,1,1,1,1,1,1,,1,,
elasssem,0,0,0,1,1,1,1,1,1,1,1,,1,,
elastart_timestamp,0,1,1,0,0,0,0,0,0,0,0,,,,
elastatus,1,1,1,1,0,0,0,0,0,0,0,,1,statusela,
elatest,0,0,0,1,0,0,0,0,0,0,0,,1,testnameela,
english,1,1,1,1,1,1,1,1,1,1,1,,1,,
fname,1,1,1,1,1,1,1,1,1,1,1,,1,,
gender,1,1,1,1,1,1,1,1,1,1,1,,1,,
grade,1,1,1,1,1,1,1,1,1,1,1,,1,,
instrsetting,1,1,1,0,0,0,0,0,0,0,0,,,,
levelela,0,0,0,0,1,1,1,1,1,1,1,,1,,
levelmath,0,0,0,0,1,1,1,1,1,1,1,,1,,
levelsci,0,0,0,0,1,1,1,1,1,1,1,,1,,
levelsoc,0,0,0,0,1,1,1,1,1,1,1,,1,,
lname,1,1,1,1,1,1,1,1,1,1,1,,1,,
matfinish_timestamp,0,1,1,0,0,0,0,0,0,0,0,,,,
math_ssh,1,1,1,0,0,0,0,0,0,0,0,,1,,
math_ssh_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
math_ssp,1,1,1,0,0,0,0,0,0,0,0,,1,,
math_ssp_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
mathformtype,1,1,1,0,0,0,0,0,0,0,0,,1,testnamemath,
mathgrade,0,0,0,1,1,1,1,1,1,1,1,,1,,
mathlev,1,1,1,1,0,0,0,0,0,0,0,,1,levelmath,
mathss,1,1,1,1,1,1,1,1,1,1,1,,1,,
mathsssem,0,0,0,1,1,1,1,1,1,1,1,,1,,
mathstatus,1,1,1,1,0,0,0,0,0,0,0,,1,statusmath,
mathtest,0,0,0,1,0,0,0,0,0,0,0,,1,testnamemath,
matstart_timestamp,0,1,1,0,0,0,0,0,0,0,0,,,,
mname,1,1,1,1,1,1,1,1,1,1,1,,1,,
newagegrade,0,0,0,1,1,1,1,1,0,0,0,,,,
permid,1,1,1,1,1,1,1,1,1,1,1,,1,,
pri_d,1,1,1,0,0,0,0,0,0,0,0,,,,
rdistrict,0,0,0,1,1,1,1,1,1,1,1,,1,,
rdistrictid,0,0,0,1,1,1,1,1,1,1,1,,1,,
reporteddistrictid,0,0,1,0,0,0,0,0,0,0,0,,1,rdistrictid,
reportedschool,0,0,1,0,0,0,0,0,0,0,0,,1,rschool,
reportedschoolid,0,0,1,0,0,0,0,0,0,0,0,,1,rschoolid,
rschool,0,0,0,1,1,1,1,1,1,1,1,,1,,
rschoolid,0,0,0,1,1,1,1,1,1,1,1,,1,,
schcode,0,1,0,0,0,0,0,0,0,0,0,,,,
school,1,1,1,0,0,0,0,0,0,0,0,,1,???,Is this rschool or tschool?
schoolid,1,1,1,0,0,0,0,0,0,0,0,,1,???,Is this rschoolid or tschoolid?
schoolnum,1,1,1,0,0,0,0,0,0,0,0,,,,
sci_ssb,1,1,1,0,0,0,0,0,0,0,0,,1,,
sci_ssb_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
sci_ssp,1,1,1,0,0,0,0,0,0,0,0,,1,,
sci_ssp_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
sciformtype,1,1,1,0,0,0,0,0,0,0,0,,1,testnamesci,
scigrade,0,0,0,1,1,1,1,1,1,1,1,,1,,
scilev,1,1,1,1,0,0,0,0,0,0,0,,1,levelsci,
sciss,1,1,1,1,1,1,1,1,1,1,1,,1,,
scistatus,1,1,1,1,0,0,0,0,0,0,0,,1,statussci,
scitest,0,0,0,1,0,0,0,0,0,0,0,,1,testnamesci,
soc_ssp,1,1,1,0,0,0,0,0,0,0,0,,1,,
soc_ssp_sem,1,1,1,0,0,0,0,0,0,0,0,,1,,
socformtype,1,1,1,0,0,0,0,0,0,0,0,,1,testnamesoc,
socgrade,0,0,0,1,1,1,1,1,1,1,1,,1,,
soclev,1,1,1,1,0,0,0,0,0,0,0,,1,levelsoc,
socss,1,1,1,1,1,1,1,1,1,1,1,,1,,
socsssem,0,0,0,1,1,1,1,1,1,1,1,,1,,
socstatus,1,1,1,1,0,0,0,0,0,0,0,,1,statussoc,
soctest,0,0,0,1,0,0,0,0,0,0,0,,1,testnamesoc,
state,0,1,1,0,0,0,0,0,0,0,0,,,,
stateid,1,1,1,1,1,1,1,1,1,1,1,,1,,
statusela,0,0,0,0,1,1,1,1,1,1,1,,1,,
statusmath,0,0,0,0,1,1,1,1,1,1,1,,1,,
statussci,0,0,0,0,1,1,1,1,1,1,1,,1,,
statussoc,0,0,0,0,1,1,1,1,1,1,1,,1,,
tdistrict,0,0,0,1,1,1,1,1,1,1,1,,1,,
tdistrictid,0,0,0,1,1,1,1,1,1,1,1,,1,,
testadmin,1,1,1,1,1,1,1,1,1,1,1,,1,,
testeddiscode,0,0,1,0,0,0,0,0,0,0,0,,1,tdistrict,
testeddistrictid,0,0,1,0,0,0,0,0,0,0,0,,1,tdistrictid,
testedschcode,0,0,1,0,0,0,0,0,0,0,0,,1,tschool,
testedschoolid,0,0,1,0,0,0,0,0,0,0,0,,1,tschoolid,
testnameela,0,0,0,0,1,1,1,1,1,1,1,,1,,
testnamemath,0,0,0,0,1,1,1,1,1,1,1,,1,,
testnamesci,0,0,0,0,1,1,1,1,1,1,1,,1,,
testnamesoc,0,0,0,0,1,1,1,1,1,1,1,,1,,
truegrade,1,1,1,0,0,0,0,0,0,0,0,,,,
tschool,0,0,0,1,1,1,1,1,1,1,1,,1,,
tschoolid,0,0,0,1,1,1,1,1,1,1,1,,1,,
